year,Total Prize Money,Total Tournaments,Total Active Players,Mean Tournament Prize Pool,Mean Earnings/Player,Median Tournament Prize Pool,Median Earnings/Player
1998,153800,11,64,13981.82,2403.13,15000,1250
1999,285319.12,16,69,17832.45,4135.06,14500,1000
2000,769783.48,66,266,11663.39,2893.92,4189.06,500
2001,940232.48,65,428,14465.12,2196.8,7000,500
2002,1037355.15,88,606,11788.13,1711.81,2702.03,400
2003,1949666.28,211,1033,9240.12,1887.38,1893.93,503.59
2004,3047057.25,295,1586,10329.01,1921.22,2250,423
2005,4405554.68,395,1559,11153.3,2825.88,2552.06,605.9
2006,5811980.51,453,2085,12829.98,2787.52,5250,500
2007,7599253.86,579,2676,13124.79,2839.78,4000,427.92
2008,7689248.37,584,2717,13166.52,2830.05,3000,458.44
2009,4221584.02,686,2876,6153.91,1467.87,1013.13,250.43
2010,6372645.01,1019,3543,6253.82,1798.66,500,250
2011,10641085.89,1709,3947,6226.5,2695.99,250,282.6
2012,14570576.4,2040,5109,7142.44,2851.94,500,307.47
2013,22818020.01,2362,6163,9660.47,3702.42,410,350
2014,38068426.6,3184,8370,11956.16,4548.2,500,299.77
2015,67873027.28,5311,14321,12779.71,4739.41,410,228.1
2016,99525516.17,4926,16850,20204.12,5906.56,513,300
2017,119917579.2,5125,20340,23398.55,5895.65,750,391.58
2018,171260572.7,5089,24852,33653.09,6891.22,1500,600
2019,254445606.6,6335,32202,40165.05,7901.55,1400.06,700
2020,148171941.8,5980,30976,24777.92,4783.44,1650.87,710.09
2021,257152078.7,6254,32759,41118.02,7849.81,1569.85,833.33
2022,241083724.1,5581,32265,43197.23,7471.99,2500,897
2023,181155329.7,3627,24482,49946.33,7399.53,3840.68,888.89
2024,195413875.4,3725,23633,52460.1,8268.69,11011.56,2066.92
2025,98465320.95,1739,15086,56621.81,6525.93,18778.28,2910.96
